contentid,contenttypeid,roomcode,roomtitle,roomsize1,roomsize2,roomcount,roombasecount,roommaxcount,roomintro,roomimg1,roomimg1alt,cpyrhtDivCd1,roomimg2,roomimg2alt,cpyrhtDivCd2,roomimg3,roomimg3alt,cpyrhtDivCd3,roomimg4,roomimg4alt,cpyrhtDivCd4,roomimg5,roomimg5alt,cpyrhtDivCd5,roomaircondition,roombath,roombathfacility,roomcable,roomcook,roomhairdryer,roomhometheater,roominternet,roomoffseasonminfee1,roomoffseasonminfee2,roompc,roompeakseasonminfee1,roompeakseasonminfee2,roomrefrigerator,roomsofa,roomtable,roomtoiletries,roomtv
137477,32,13551,16평형,16,52,74,3,0,※ 객실 가격 전화문의 요망<br/>,http://tong.visitkorea.or.kr/cms/resource/91/1335491_image2_1.jpg,강원 고성군_금강산콘도_16평형_1,Type3,http://tong.visitkorea.or.kr/cms/resource/92/1335492_image2_1.jpg,강원 고성군_금강산콘도_16평형_2,Type3,http://tong.visitkorea.or.kr/cms/resource/93/1335493_image2_1.jpg,강원 고성군_금강산콘도_16평형_3,Type3,http://tong.visitkorea.or.kr/cms/resource/94/1335494_image2_1.jpg,강원 고성군_금강산콘도_16평형_3,Type3,,,,Y,,Y,,Y,,,Y,0,0,,0,0,Y,,,Y,Y
137477,32,13552,30평형,30,99,131,5,0,※ 객실 가격 전화문의 요망<br/>,http://tong.visitkorea.or.kr/cms/resource/97/1335497_image2_1.jpg,강원 고성군_금강산콘도_30평형_3,Type3,http://tong.visitkorea.or.kr/cms/resource/96/1335496_image2_1.jpg,강원 고성군_금강산콘도_30평형_2,Type3,http://tong.visitkorea.or.kr/cms/resource/95/1335495_image2_1.jpg,강원 고성군_금강산콘도_30평형_1,Type3,http://tong.visitkorea.or.kr/cms/resource/98/1335498_image2_1.jpg,강원 고성군_금강산콘도_30평형_1,Type3,,,,Y,,Y,,Y,,,Y,0,0,,0,0,Y,,,Y,Y
2814151,32,,304,12,39,1,2,4,오션뷰,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,200000,250000,,300000,350000,Y,Y,Y,Y,Y
2814151,32,,203,6,19,1,2,2,오션뷰,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,150000,200000,,250000,300000,Y,Y,Y,Y,Y
2814151,32,,301,12,39,1,2,4,오션뷰,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,200000,250000,,300000,350000,Y,Y,Y,Y,Y
2814151,32,,302,12,39,1,2,4,오션뷰,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,200000,250000,,300000,350000,Y,Y,Y,Y,Y
2814151,32,,303,12,39,1,2,4,오션뷰,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,200000,250000,,300000,350000,Y,Y,Y,Y,Y
2814151,32,,201,6,19,1,2,2,"오션뷰, 베란다 있음",,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,150000,200000,,250000,300000,Y,Y,Y,Y,Y
2814151,32,,204,6,19,1,2,2,오션뷰,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,150000,200000,,250000,300000,Y,Y,Y,Y,Y
2814151,32,,202,6,19,1,2,2,오션뷰,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,150000,200000,,250000,300000,Y,Y,Y,Y,Y
2814151,32,,101,12,39,1,4,4,"오션뷰, 2인용 침대 2개",,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,190000,240000,,290000,340000,Y,Y,Y,Y,Y
2902851,32,,디럭스,23,76,0,4,5,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,,,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902851,32,,스위트,23,76,0,2,3,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,,,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902851,32,,스탠다드,19,62.8,0,2,4,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,Y,0,0,,0,0,Y,,Y,Y,Y
2902851,32,,골드스위트,33,128.9,0,4,9,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,,,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902851,32,,실버스위트,33,109,0,4,6,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,,,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902851,32,,패밀리,23,89.2,0,5,6,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,,,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902867,32,,패밀리 스위트,20,69,0,3,3,"※ 가격 : 전화문의 ※ 침실2, 거실, 화장실2, 발코니",,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902867,32,,그랜드 패밀리 스위트,29,95.88,0,4,4,"※ 가격 : 전화문의 ※ 침실2, 화장실 2, 발코니",,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902867,32,,코너 스위트,16,55.03,0,3,3,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902867,32,,패밀리 디럭스,12,42.33,0,3,3,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,0,0,,0,0,Y,,Y,Y,Y
2902867,32,,"패밀리 스위트, 온돌",20,69,0,3,3,"※ 가격 : 전화문의 ※ 침실2, 거실, 화장실2, 발코니",,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902867,32,,화이트 로열 스위트,52,172.88,0,4,4,"※ 가격 : 전화문의 ※ 침실2, 거실, 화장실 2, 러기지룸",,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902867,32,,블랙 로열 스위트,51,170.5,0,2,2,"※ 가격 : 전화문의 ※ 침실1, 거실, 화장실 2, 러기지룸",,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902867,32,,"그랜드 패밀리 스위트, 온돌",29,95.88,0,4,4,"※ 가격 : 전화문의 ※ 침실2, 거실, 화장실2, 발코니",,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2902867,32,,디럭스,12,42.33,0,2,2,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,0,0,,0,0,Y,,Y,Y,Y
2907815,32,,"A동 2,3층 원룸",16,56,0,2,4,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,Y,0,0,,0,0,Y,,Y,Y,Y
2907815,32,,A동 4층 원룸,24,82,0,2,2,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,Y,0,0,,0,0,Y,,Y,Y,Y
2907815,32,,B동 투룸,27,92,0,4,6,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2907815,32,,B동 원룸,16,56,0,2,2,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2907815,32,,A동 투룸,24,82,0,4,6,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2907815,32,,B동 4층 원룸,16,56,0,2,4,※ 가격 : 전화문의,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,,Y,0,0,,0,0,Y,Y,Y,Y,Y
2941159,32,,"비움1,2,3,4",0,0,4,4,4,"※ 위 정보는 2024년 07월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,
2941159,32,,"채움1,2,3",0,0,3,4,4,"※ 위 정보는 2024년 07월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,
2950046,32,,트윈룸,4,16,0,2,2,,http://tong.visitkorea.or.kr/cms/resource/23/2949423_image2_1.jpg,g2002_객실사진추가_트윈룸2,Type1,http://tong.visitkorea.or.kr/cms/resource/24/2949424_image2_1.jpg,g2002_객실사진추가_트윈룸1,Type1,,,,,,,,,,Y,,Y,,,Y,,Y,60000,70000,,129000,129000,Y,,Y,Y,Y
2950046,32,,한실,4,16,0,2,2,,http://tong.visitkorea.or.kr/cms/resource/20/2949420_image2_1.jpg,g2002_객실사진추가_한실2,Type1,http://tong.visitkorea.or.kr/cms/resource/21/2949421_image2_1.jpg,g2002_객실사진추가_한실1,Type1,,,,,,,,,,Y,,Y,,,Y,,Y,60000,70000,,129000,129000,Y,,Y,Y,Y
2950046,32,,오션뷰 더블룸,4,16,0,2,2,,http://tong.visitkorea.or.kr/cms/resource/16/2949416_image2_1.jpg,g2002_객실사진추가_오션뷰 더블룸2,Type1,http://tong.visitkorea.or.kr/cms/resource/17/2949417_image2_1.jpg,g2002_객실사진추가_오션뷰 더블룸1,Type1,,,,,,,,,,Y,,Y,,,Y,,Y,60000,70000,,129000,0,Y,,Y,Y,Y
3068031,32,,친구랑,0,0,1,2,2,"※ 위 정보는 2024년 07월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,,,Y,,Y,,Y,Y,,Y,0,0,,100000,100000,,,,Y,
3068031,32,,3인 가족방,0,0,0,3,3,"※ 위 정보는 2024년 07월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,,,Y,,Y,,Y,Y,,Y,0,0,,110000,110000,,,,Y,
3068031,32,,미대다닌언니 자취방,3,11.58,1,2,2,"※ 위 정보는 2024년 07월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,,,Y,,Y,,Y,Y,,Y,0,0,,100000,100000,Y,Y,Y,Y,Y
3068031,32,,후암동언니 자취방,3,11.58,1,2,2,"※ 위 정보는 2024년 07월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,,,Y,,Y,,Y,Y,,Y,0,0,,100000,100000,Y,Y,Y,Y,Y
